,question
67,IN WP NN VBD NNP POS NN VBD PRP$ NN TO VB PRP$ NN .
68,WP JJ NN NN VBD NNP POS NN POS JJ NN .
69,WP NN NN RB VBD NNP POS NN CC RB VB PRP .
70,IN WP NN VBD NNP NN NNP NNP .
71,WRB JJ VBD NNP WRB PRP VBD NNP NNP .
72,WP VBD DT NN IN DT JJ NN NNP VBD DT NN IN .
73,WP VBD NNP POS NNP IN NNP NNP .
74,WRB VBD NNP VB TO VB DT NN NN .
75,"WP VBD DT NN NN IN NNP CD , CD ."
76,NNP NN VBD NNP POS NNP POS JJ JJ JJ .
77,"IN WDT NN , VBD NNP POS NNP VB NN DT JJ NN IN JJS NNP CC NNP NN ."
78,WP VBD NNP NN IN IN DT NN `` DT NNP NN . ''
79,NNP POS NN VBD PRP$ NN TO NNP POS NNP IN WP NN .
80,DT NN NNP POS NNP VBD VBN IN DT NN IN WDT NN IN DT NNP .
81,"NN NN , `` VBG NN '' VBD VBN IN WP NN POS NN NN ."
82,WP NN VBD NNP NNP CC NNP NNP IN DT CD NNP NNP NNP .
83,"WP NN VBD NNP NN DT NN IN IN DT NN , `` DT NNP NN '' ."
84,WRB VBD NNP POS NNP VB PRP$ NN IN .
85,"NNP POS NNP NN , VBG NNP , VBD VBN IN WDT NN POS NN ."
86,WP VBD NNP POS NNP POS JJ JJ NN VBN .
87,WRB VBD NNP POS NNP VB PRP$ JJ NN .
88,WP VBD NNP VBG DT NN IN IN `` DT NNP NN '' NN .
89,WP JJ NN NN VBD NNP VB IN .
90,WP NN VBD IN PRP VBD RB VBN .
91,WP VBD NNP IN PRP$ NN .
92,WP NN VBD NNP POS NN .
93,WRB JJ VBD NNP VBD .
94,WP VBD NNP VBD PRP$ NN DT RBS .
95,WP VBD NNP CC NNP IN NNP POS NNP .
96,WP VBD VBN IN NNP CC NNP VBG NNP POS NNP .
97,WP VBD NNP VB PRP$ NN IN DT NNS VBG DT NNP POS NNP NN .
98,JJ JJS NN VBD VBN IN NNP POS NNP .
99,`` NNP POS NNPS '' VBD WDT JJ IN DT NN NNS .
100,WRB JJ NNS VBD PRP$ JJ `` JJ NNP NNP PRP '' NN IN NN .
101,"IN WP NN , VBD NNP NN DT JJ NN NN IN ."
102,"PRP$ JJ NN , NNP , VBD WRB JJ IN PRP$ JJ NN ."
103,WP NNP NN VBD DT JJ NN `` NNP '' IN DT JJ NN .
104,WP NN VBD DT NN TO VB VBN IN CD .
105,JJ NNP NNP PRP VBD IN WDT CD NN POS NN .
106,NNP NN VBD NNP NN IN CD IN NNP NNP .
107,WP VBD DT NN IN NNP NNP POS JJ NN .
108,WP VBD DT NN IN NNP .
109,WRB VBD NNP POS NNP VB PRP$ NN .
110,"WP VBD NNP NN IN IN DT NN , `` NNP NNPS IN NNP '' ."
111,WDT CD NNS VBD NNP POS NN `` VB PRP RP '' RB JJ NN NN .
112,NN VBD IN NNP NNP NNP IN WDT NN .
113,WP VBD NNP NN DT JJ JJ IN IN DT NN `` DT NNP NNPS '' .
114,IN JJ NN IN DT NN VBD RBR IN DT NNS .
115,WP NN VBD NNP VB IN IN NNP NNP .
116,WP JJ NN VBD DT NN `` NNP '' JJ .
117,"WP NN IN NN VBD NNP NN IN IN NNP NNP , NNP ."
118,WP NN VBD DT JJ JJ IN DT NN POS NN NN .
119,"WRB VBD DT NNS VBP DT NN , `` DT NNP NNPS '' ."
120,WP NN VBD NNP NN IN IN NNP NNP IN CD .
121,WP VBD NNP POS NN VBN IN NNP NNPS IN NNP .
122,WDT NN VBD NNP NN IN DT NN JJ IN NNP NNPS IN NNP POS NN .
123,"WP JJ NN VBD NNP NN IN IN IN NNP NNP , NNP IN CD ."
124,WP NN VBD NNP NN IN DT NN JJ IN DT VBG NNS .
125,WP VBD DT JJS NN POS JJ NN VBG VBN IN DT NNP NNP CD .
126,NNP POS JJ NN IN NN VBD VBN WP .
127,WRB JJ VBZ `` NNP IN NNP '' NN NN IN PRP$ NN .
128,NNP POS JJ NN CD NN VBD WDT NN .
129,WRB JJ JJ CD NNS VBD IN PRP$ JJ NN .
130,NNP POS JJ NN NN IN DT NNP IN WP NN IN DT NN JJ .
131,WP VBD NN VBD NNP NN IN CD .
132,"DT NN , NNP IN NNP VBD WP NN IN DT NNP NNP CD NN ."
133,`` DT NNP PRP VBP TO PRP '' VBD VBN IN WDT NN .
134,JJ NN VBD VBN IN NNP POS JJ NN NN .
135,WRB VBD NNP VB PRP$ JJ NN NN .
136,WP VBZ DT JJ JJ IN NNP POS JJ NN .
137,WP VBD NNP VB DT NNP NN IN NNP NNP CC NNP NNP IN DT NNP CC NNP IN DT CD JJ NNP NNP .
138,WRB JJ NNS VBD NNP NN IN DT CD NNP POS NNS .
139,NNP POS NNP POS JJ NN VBD VBN WP .
140,NNP POS NNP VBD DT NN IN DT NNP NNP IN NNP IN WP NN .
141,IN WP NN VBD NNP NN IN PRP$ NNP IN NNP NN IN NNP .
142,WP VBD DT NN IN DT JJ NN IN NNP POS NNP .
143,PRP VBD VBN IN NNP POS NNP MD VB IN WP JJ NN .
144,WRB VBD NNP POS NNP VB PRP$ NN IN DT NNP NNP IN NNP .
145,WP VBD DT NN IN NNP POS JJ NN WDT VBD IN NNP CD .
146,WP VBD NNP NN IN IN DT NNP NNP NNP NNP .
147,"WP JJ NN VBD NNP NN IN IN NNP CD , CD ."
148,WP VBZ DT NN IN DT JJ NN NN IN NNP POS NNP .
149,WRB JJ NNS VBD NNP NN IN DT JJ NN WRB PRP VBD PRP JJ NN .
150,DT JJ JJ IN DT NN VBD WDT NN .
151,WRB JJ NNS VBD PRP NN `` JJ '' VB NN CD NN IN .
152,WRB JJ NNS VBD PRP$ JJ NN NN .
153,WP NN VBD NNP POS NN NNP NN .
154,"WP NN VBD NNP NN IN IN DT JJ , `` NN NNP '' ."
155,WRB JJ VBD `` NN NNP '' NN IN DT NNP NN .
156,WP VBZ DT NN IN NNP POS JJ NN .
157,WRB JJ NNS VBD NNP VB IN DT JJ NN IN PRP$ NN .
158,"WP VBD IN NNP IN DT JJ , NNP NNP ."
159,WDT JJ IN NNP VBD RB VBN IN DT NNP .
160,WP NN VBD NNP NN IN CD .
161,PRP$ JJ NN NNP VBD VBD WP NN .
162,"DT JJ , `` VB '' VBD VBN IN WDT NN ."
163,NNP POS JJ NN NN VBD WRB .
164,WRB JJ NN VBD NNP POS NNS VBP IN CD .
165,WRB JJ NNS IN NNS VBD `` DT NNP NNP '' JJ NN .
166,WP VBD NNP VB PRP$ JJ VB NN .
167,WP VBD NNP POS NN IN IN `` JJ NNP '' .
168,NNP NN VBD NNP NN IN NNP NNP IN .
169,NNP POS NN IN NNP VBD VBN IN WP NN NN .
170,WP VBD DT JJ JJ IN DT NNP NN .
171,WP VBD DT NN IN NNP POS JJ JJ NN .
172,WP NN NN VBD DT NN IN NNP IN NNP NNP .
173,NNP VBD VBN IN CD TO WP .
174,"PRP$ JJ NN , `` PRP VBP : NNP NNP '' VBD VBN WRB ."
175,"IN WDT NN , VBD NNP VB JJR JJ NN NNS IN DT JJ NN ."
176,JJ NN VBD RP NNP IN JJS NN NN .
177,"IN CD , NNP VBD PRP$ JJ NN NN CC VBD WRB JJ NN ."
178,WRB VBD PRP VB DT NN .
179,WRB VBD NNP VB PRP$ JJ NN NN .
180,WP VBD RP NNP IN NNP NNP NNP .
181,WRB RB VBD DT JJ NN NN VBP IN NNS .
182,WRB VBD NNP VB VBN .
183,WP VBD NNP NN .
184,WP VBZ NNP POS NN NN .
185,DT NN IN WP NN VBD NNP DT CD NNP NNP IN DT NNP NN .
186,WDT JJ NN VBD DT CD NNP NNP IN DT NNP NN MD VB VBD TO NNP RB IN NNP NNP .
187,"NNP VBD WDT NN IN DT NN , NNP NNP ."
188,NN VBD PRP$ JJ NN IN NNP NNP TO WDT NN .
189,WDT NN VBD NNP NN IN DT JJ NN POS JJ NN .
190,"WP NN IN NN VBD DT NN , VBN , IN WDT NNP VBD IN ."
191,"DT JJ NN IN DT NN , VBN , VBD WDT NN IN NNP ."
192,WRB VBD NNP VB PRP$ NN IN DT NN NNP NNP .
193,WP NN NN VBD NNP NN IN .
194,WP VBD DT NN IN DT NN PRP VBD IN VBN .
195,WRB RB RBR IN DT NN VBD DT NN JJ .
196,JJ NN VBD NNP NN IN NNP NNP .
197,JJ NN VBD NNP POS JJ NN NNS NN .
198,"WRB VBD NNP NN IN NNP CD , CD ."
199,NNP NN NN VBD NNP NN IN IN NNP NNP .
200,WRB JJ NNS VBD NNP VBD IN IN DT CD NNP NNP .
201,NNP VBD IN WDT NN IN JJS NNS IN DT JJ NN .
202,"IN CD , NNP VBD IN WDT JJ JJ NN ."
203,WRB JJ NN CD VBZ VBD NNP RB VBP IN DT NN `` NN '' .
204,NNP VBD WP IN JJS NN CD NNS IN DT NN .
205,NNP VBD WRB JJ NNS IN DT CD NNP NNP NNP .
206,WP NN VBD DT JJ JJ NN NN IN NNP .
207,WP RB VBD IN NNP IN NNP .
208,WP VBD PRP VB IN IN CD JJ NNS .
209,WP VBD NNP NN IN IN DT RBS NNS IN DT NN .
210,WRB JJ NNS VBD NNP NN IN DT CD NNP NNP NN .
211,WP VBD NNP NN IN IN DT RBS NNP NNS IN JJ NNS .
212,"NNP VBD DT JJ NN IN WDT NN POS NN , CD ."
213,WP VBD NNP CC NNP NNP NN IN IN DT RBS NN CD VBZ IN CD .
214,NNP MD VB DT NN IN NN IN WDT NN .
215,JJ NN VBD NNP CC PRP$ JJ NN NN NNS .
216,WDT JJ NN VBD NNP NN IN NNP .
217,IN WP NN VBD NNP VB PRP$ NN .
218,WP VBD DT NN .
219,WRB VBD PRP VB VBG PRP$ NN IN DT NN .
220,WRB RB VBD DT NN JJ .
221,WP VBD NNP NN IN NNP CD .
222,WP VBD DT NN IN NNP .
223,WP VBD NNP NN NNS IN IN PRP$ NN .
224,WRB RB VBD PRP NN JJ .
225,IN WDT NN VBD NNS IN NNP VBG IN NNP NNP NN .
226,WP VBD NNP VB DT NN TO VBN IN PRP$ NNS .
227,NN VBD DT JJ JJ NN TO VB NN IN CD NNS IN WDT NN .
228,JJ NN VBD NNP POS JJ NN PRP$ NNS TO .
229,NN VBD VBN IN CD IN DT JJS JJ NN IN WP .
230,NNP VBD NN NN WDT NNP VBD IN NNP .
231,WRB VBD DT NN VB .
232,WP VBD PRP VB IN DT NN .
233,WRB VBD NNP NN IN CD .
234,WP VBD NNP VB RB IN IN CD .
235,WP VBD DT NN IN NNP POS NN IN DT NNP NN .
236,JJ NN VBD NNP VB PRP$ NN IN DT JJ NN TO .
237,NNP VBD DT JJ NN NN TO VB WP IN DT CD NNP NNP .
238,NNP POS JJ NN VBN IN WP NN .
239,JJ JJ VBD DT RBS NN IN DT NN .
240,NNP VBD DT NN IN WDT NN IN CD .
241,"IN CD , NNP VBD IN CD NNS WRB ."
242,WRB VBD NNP POS NN NN VBN .
243,WRB JJ NNS VBD DT NN NN IN PRP$ JJ NN .
244,WP VBD NNP CC NN IN VBG .
245,WRB VBD PRP VB IN DT NNP NN .
246,WP VBZ DT NN IN NNP POS JJ NN NN .
247,WRB VBD CD VBN .
248,WRB JJ NNS IN CD VBN IN DT JJ NN .
249,WP NN VBD NNP VB DT NN IN IN PRP$ JJR NN .
250,WRB VBD NNP NN IN CD NNS IN VBG NN RB VBZ IN CD .
251,WRB VBD NNP VB PRP$ JJ NN .
252,WRB VBD NNP VB NN TO PRP$ JJ NN .
253,NNP POS JJ NN VBZ VBN WP .
254,PRP$ JJ NN VBG IN VBG NN VBD WRB .
255,WRB VBD NNP VB PRP$ JJ NN .
256,WP VBD DT NN POS NN .
257,WRB RB VBD PRP IN DT NN IN PRP$ NN IN PRP VBD RB .
258,WRB JJ NNS VBD PRP VB IN NNP NNP .
259,WRB VBD NNP VB NN TO DT NN .
260,WP VBD NNP NN PRP$ NN .
261,WRB VBD NNP NNP VBN .
262,WRB VBD NNP POS JJ JJ NN IN VBG NN .
263,WRB JJ NNS VBD NNP NN IN DT NN .
264,NNP POS NNP VBD DT NN NN IN WDT NN .
265,NNP POS JJ NN VBD VBN WP .
266,WP VBD NNP NN IN CD .
267,WRB VBD NNP POS NNP NN PRP$ NN `` NNP NNP '' .
268,WP VBD DT NN IN DT JJ NN IN NNP NNP .
269,IN WP$ NN VBD PRP VB DT NNP NNP .
270,WRB JJ NNS IN NN VBD DT NN NN VB VB .
271,WRB VBD NNP POS NNP NN NNP NNP .
272,WP VBD DT JJ NN IN NNP NNP .
273,WP VBD NNP NN IN NNP NNP POS JJ NN .
274,WP NN VBD NNP NN IN CD NN IN NNP POS NN .
275,WP VBZ DT NN IN NNP POS NN NN .
276,WRB JJ NNS VBD NNP POS `` DT NNP NNP NNP '' NN .
277,CD IN NNP POS RBS JJ NN RB VBD WDT CD .
278,NNP VBD WDT NN IN DT NN `` NNP '' .
279,NNP VBD DT NN IN WDT VBD NN .
280,WRB VBD DT NN NN .
281,IN WP NN VBD NNP JJ NN .
282,WP NN VBD PRP NN IN DT NN NNP .
283,WP NN VBD NNP NN IN DT NN NNP .
284,WP VBD DT NN IN NNP POS NN IN PRP VBD IN NNP CD .
285,WRB JJ NNS VBD DT NNP NNP NNP NNP NNP VBP .
286,WDT NNP NNP NN VBD NNP NN CC NN IN NNP CD .
287,NNP VBD DT JJ NN IN DT CD WP .
288,"JJ NN IN DT NN , NNP , VBD VBN IN NNP ."
289,WRB VBD NNP VB PRP$ CD NN TO DT JJ NN .
290,WRB VBD NNP VB PRP$ JJ JJ NN CD NN NN .
291,WRB VBD DT NN VBN .
292,WP VBD NNP IN PRP$ IN DT NNP NNP .
293,WP VBD NNP TO VB DT JJ NN NN IN NN .
294,WRB RB RBR VBD PRP$ NNS IN DT NN IN .
295,WRB VBD NNP VB PRP$ JJ NN NN .
296,WRB JJ JJ NNS IN PRP$ JJ NN VBD NNP VB IN CD NNS .
297,WP NN IN NNP POS JJ NN NN VBD PRP$ NN .
298,WP VBD DT NN IN DT NN VBG DT NNP CC NNP NNP .
299,WRB JJ NNS VBD NNP VB NN IN PRP IN DT CD NNP NNP .
300,JJ NN VBD NNP RP IN NNP IN DT NN .
301,NNP NN VBD NNP NN IN DT NN IN IN NNP IN CD .
302,NNP MD VB IN WP IN NNP CD .
303,NNP VBD NN WRB JJ NNS IN DT CD NNP NNP .
304,NN VBD TO WDT NN IN NNP IN DT NN .
305,WP VBD NNP VB JJ TO IN NNP CD .
306,"IN NNP VBD CD NNS IN CD , WRB JJ VBD PRP VBD IN ."
307,IN WP NN VBD PRP DT NN NN .
308,WP MD PRP VB IN IN NNP CD .
309,IN WP JJ NN VBD NNP NN IN PRP$ NN .
310,WRB JJ NNS VBD NNP VBD IN IN DT CD JJ NNP .
311,WRB JJ NNS VBD NNP NN IN DT CD NNP NNP .
312,NNP VBD DT NNP IN DT NNP NN TO WDT NN .
313,"NNP NN VBD NNP NN IN DT NN , VBG PRP$ DT JJ JJ NN NN TO VB RB ."
314,WP VBD NNP NN IN IN NNP NNP CD .
315,NN VBD DT NN `` NNP '' IN WDT JJ NN NN .
316,NNP POS JJ JJ VBN IN DT NN NN VBD VBN WP .
317,"WP NN VBD NNP VB PRP$ JJ , NNP ."
318,WRB VBD DT JJ VBN .
319,WP VBD DT NN IN DT VBG NN .
320,WP NN IN NN VBD DT NN VBN .
321,WRB VBD NNP NN NNP .
322,"WRB VBD NNP RB VBD PRP JJ , NNP ."
323,"IN IN NNP CD , WRB JJ NNS VBP NNP NNP CC NNP VBD RB ."
324,WRB VBD NNP VB JJ .
325,NN VBD WP IN DT `` JJS NN PRP VBD TO VB '' .
326,WP VBD NNP VB DT NN IN .
327,WRB VBD NNP CC NNP NNP VBD .
328,RB WRB NNS VBP PRP VBN .
329,WRB VBD NNP NN IN DT NN IN PRP$ NN .
330,WRB VBD NN WRB PRP VBD JJ .
331,"IN WDT NN NN VBD NNP NN IN NNP NNP POS NN , VBG NN IN PRP$ NN ."
332,WRB VBD NNP CC NNP NNP VBD .
333,WRB JJ NNS VBN VBP NNP CC NNP NNP VBN .
334,WP VBD NNP NN IN DT JJS NN IN PRP$ NN .
335,WRB VBD NNP VB JJ .
336,NNP NNP CC NNP VBD WDT NN RB IN NNP IN CD .
337,NN VBD WP IN VBG CD IN PRP$ NNS .
338,WRB JJ NNS VBD DT CD NNP NNP NNP .
339,WRB VBD PRP VB PRP$ NN .
340,WRB VBD DT NN DT JJ IN NN .
341,WP RB VBD VBN IN DT NNP NNP NNP .
342,"WP VBD DT RBS JJ NN IN NN IN NNP CD , CD ."
343,WP NN VBD PRP VB IN DT NNP NNP .
344,WRB VBD NNP VB PRP$ NN .
345,WP NN VBD NNP VBG RB TO VBG PRP$ NN .
346,WRB JJ NNS VBD DT CD NNP NNP NNP NNP .
347,"WP VBD DT RBS JJ NN IN NNP IN DT NN IN NNP CD , CD ."
348,NNP NNP VBZ DT NN VBN WP .
349,WDT NN IN NNP NNP VBD IN DT NN VBZ .
350,WP VBD DT NN IN NNP POS NN .
351,IN WP NN VBD DT NN VBN .
352,WP VBD DT VBN IN DT NN VBN TO DT NN .
353,WP VBZ NNP . NN IN .
354,WP VBD VBN IN PRP$ NNS IN DT NN .
355,WRB VBD NNP VB NN TO PRP$ NN .
356,WP VBD NNP CC NNP NNP VBP PRP$ NN .
357,WP NN VBD NNP NNP VB CD NNS IN NNP NNP VBD VBN .
358,WP VBZ VBN IN DT NN IN NNP .
359,WRB VBD NNP NNP VBD IN NNP .
360,NN CC NNP VBD TO DT NN IN DT NN IN WP .
361,NNP VBD WDT NN IN DT CD JJ NN .
362,WRB RB VBD NNP NN IN NNP IN DT CD NNP .
363,"WP VBD PRP VB IN NNP CD , CD ."
364,WP VBD PRP VB IN NNP CD .
365,WP VBD PRP NN IN DT CD NNP NNP .
366,WP NN VBD NNP NN IN DT CD NN IN NNP .
367,WP NN VBD NNP NN IN DT JJ JJ NN IN DT NNP .
368,WP JJ NNS NN VBD NNP NN DT NN IN PRP$ NN NN IN .
369,"WRB VBD NNP NN IN NNP CD , CD ."
370,NN VBD DT NN IN WDT NN CC VBD VBN IN NN .
371,NNP VBD WDT NN WDT VBZ NN IN NNS .
372,WRB VBD NNP VBD IN VBG IN PRP VBZ DT JJ NN .
373,WRB VBD PRP VB DT PRP VBZ DT NN .
374,WP NN VBD PRP VB TO .
375,WP NN VBD PRP VB IN CD IN NN TO DT NN .
376,WP VBZ NNP NNP NN .
377,"NNP VBD NNS IN WDT JJ NN IN PRP$ NN , NNP ."
378,WDT NN VBZ NNP VB TO DT VBZ NN IN NNS .
379,NNP VBD DT NN IN WP IN CD .
380,DT JJ NNP NN VBD NN WRB .
381,DT NN NNP VBD VBN IN WP NN .
382,WP VBD TO VB VBN IN VBG NN .
383,WRB VBD NNP VB DT NN IN CD NNP .
384,TO WP VBD DT NN VBD .
385,WP VBP DT NNS .
386,WRB MD PRP VB .
387,WP VBD NNP VB DT NN IN IN CD .
388,WP VBD DT NN VBD TO .
389,WP VBD NNP NNP VBG RB IN NN TO DT NN .
390,WP VBD DT NN VBP DT CD NNS TO VB IN .
391,NN IN IN NNP NNP VBD IN WP POS NN IN PRP$ NN .
392,NN IN NNP NNP VBD NNS IN NN TO VB WP IN IN NN .
393,WP VBZ NN VBD DT NN .
394,WRB JJ NN NN VBD PRP VB .
395,NNP NN RP WDT JJ NNS IN JJS VBN IN NNP CD CC NNP CD .
396,NN CC NNP NNP VBD DT NNP NNP NN IN WP IN CD .
397,NN VBD DT JJ JJ NN IN WDT NN .
398,"IN IN NNP IN CD , WRB JJ VBZ NNP POS JJ NN ."
399,"JJ CD CC CD , WDT VBZ VBD NNP NN IN NNS ."
400,IN CD WP VBD NNP IN CD IN DT NNP NNP .
401,WRB VBD PRP CC NNP NNP VB DT JJS JJ JJ NN NN .
402,WRB RB VBD PRP VB IN CD .
403,WP VBZ NNP POS JJ NN IN CD .
404,"WP VBD VBG NNP POS JJ NNS , VBG IN CD ."
405,"WRB VBD NNP VB DT JJS JJ JJ NN , RB ."
406,WP VBD IN NNP MD VB DT JJS JJ JJ NN .
407,WRB VBD NNP NNP CC NNP VB DT JJ NN NN NN IN DT CD NNS .
408,NN POS NN IN NN VBZ WRB JJ NNS .
409,WP VBD IN NNP POS NN CC NN IN NN .
410,NNP NN VBD NNP POS NN `` NN '' .
411,NNP NN VBD VBN TO VB VBN NNP POS NN NN IN NNP NNP .
412,WRB JJ NNS VBZ NNP VB .
413,WP VBD DT NNP NNP VBP IN NNP POS NN .
414,WP VBZ NNP NN VBD NNP POS NN .
415,WP VBP JJ NNS NN .
416,WRB JJ NNS VBZ NNP POS NN NN .
417,WRB VBZ NNP VBN IN DT NN IN NNP POS NNP .
418,NNP NNP NNP POS NNP NNP VBZ NNP POS NN NN RB WP .
419,WP VBZ NNP NNP VBP VBN NNP POS JJ NN .
420,JJ IN NNP VBZ RB VBN IN WP NN .
421,"IN NNP CC NNP , WDT VBZ VBZ NNP VB IN ."
422,"NNP RB VBZ JJ NNS , CC WP JJ NN VBD PRP VB NNS ."
423,JJ NNS NNP VBN VBD IN WP .
424,NN VBD VBN IN PRP$ JJ NNS IN WDT NNP .
425,WP NN IN NN VBZ NNP VB .
426,WP NN VBZ PRP RB VBG .
427,WP JJ NN VBZ PRP VBD .
428,WP NN VBD PRP NN IN JJ .
429,WP NN IN NN VBZ NNP RB VB .
430,WP NN VBD NNP VB JJ NNS IN .
431,WP VBD NNP IN PRP$ JJ NNS .
432,WP NN VBD DT JJ NNS VBP IN .
433,NN VBZ RB VB WDT NN IN PRP$ NN .
434,DT NN IN DT NN VBN IN DT JJ NN VBZ WP .
435,WP NN VBD NNP POS JJ NN .
436,IN NNP NNP WDT VBD PRP JJ NNS .
437,WP VBZ PRP VB NNS IN IN PRP$ NN .
438,WP NN IN NN VBZ PRP VB .
439,NNP POS JJ NNS VBN WP .
440,"IN NN TO JJ NNS , NNP RB VBD WP NNS IN JJS IN PRP$ NNS ."
441,"RB IN NNS , WP CD NNS VBZ NNP RB VBP RP IN IN NNS ."
442,NNP NNP IN DT NNP NN IN CD VBD VBN TO WP .
443,NNP VBD DT NNP NNP IN DT NNP NN IN WDT NN .
444,NN VBZ DT JJ NN IN VBG NNS IN NN CD VBZ IN WP .
445,NN VBD CD JJ NNS IN WP NN IN NNP NN IN CD .
446,WRB VBD NNP VB DT JJ JJ NNP NN TO VB NNP NN IN DT NN .
447,WP NN VBZ PRP VBD IN IN VBG NNS .
448,WP VBD PRP IN NN CD IN PRP$ NN IN JJ CD JJ CD NNS .
449,WRB VBZ PRP VB IN VBG NNS IN CD NN CD NNS .
450,"WP VBD NNP NN IN CD , VBG PRP$ DT JJ JJ NN TO VB RB ."
451,WP VBD NNP DT NNP NNP IN DT NNP NN IN CD .
452,NNP VBD CD IN WRB JJ NNS IN NNP NN POS CD `` JJ CD NNP CD NNPS '' NN .
453,WP NN VBD NNP IN DT JJ CD NNP CD NNP NN .
454,TO WP VBD NNP NN IN PRP$ JJ NN IN PRP$ NN .
455,WRB JJ VBD NN WRB PRP VBD TO PRP$ JJ NNP NNP NN IN DT NN .
456,NNP VBD DT JJ NN TO WP IN CD .
457,NNP VBZ NNP NNP TO VBG PRP$ NN TO VB VBG WP .
458,WP VBD NNP .
459,WP NN IN NNP NNP VBD PRP$ .
460,WP VBZ NNP POS JJS JJ NN .
461,WP VBD NNP POS JJ NN .
462,WP VBZ NNP NN VBZ DT JJ NN .
463,WP VBZ PRP NN IN DT NN TO `` VB IN RB CC VB WP PRP VBD '' .
464,WP NN VBD NNP TO NN NNS IN DT NN .
465,WP NNS VBD VBN IN PRP$ JJ NN IN NNP .
466,JJ NN VBD NNP NN IN VBG IN PRP$ NN `` NNP NNP '' .
467,WP VBD NNP TO VB JJ NNS IN NN .
468,WP NN VBD NNP NNS NN NNS .
